crop,group_name
Absinthe,Forest Products
Adulsa,Medicinal and Aromatic Plants
Ajwain Husk,Others
Ajwan,Spices
Akarkara,Medicinal and Aromatic Plants
Alasande Gram,Pulses
Almond(Badam),Dry Fruits
Aloe Vera,Vegetables
Aloe Vera Leaf,Medicinal and Aromatic Plants
Alsandikai,Vegetables
Amaltas,Medicinal and Aromatic Plants
Amaranthus,Vegetables
Amarbel,Medicinal and Aromatic Plants
Ambada Seed,Forest Products
Ambady/Mesta/Patson,Fibre Crops
Ambat Chuka,Vegetables
Ambrette Seed/Muskmallow,Fruits
Amla(Nelli Kai),Fruits
Amranthas Red,Vegetables
Antawala,Forest Products
Anthorium,Flowers
Apple,Fruits
Apricot(Jardalu/Khumani),Fruits
Arecanut(Betelnut/Supari),Drug and Narcotics
Aretha,Medicinal and Aromatic Plants
Arrowroot,Vegetables
Asalia,Drug and Narcotics
Asgand,Spices
Ashgourd,Vegetables
Ashoka,Drug and Narcotics
Ashwagandha,Drug and Narcotics
Asparagus,Drug and Narcotics
Astera,Flowers
Atis,Drug and Narcotics
Avare Dal,Pulses
Avocado,Fruits
BOP,Flowers
Baboolphali,Medicinal and Aromatic Plants
Baby Corn,Vegetables
Bael,Fruits
Bajji chilli,Vegetables
Bajra(Pearl Millet/Cumbu),Cereals
Balekai,Vegetables
Bamboo,Forest Products
Bamboo Shoot,Vegetables
Banana,Fruits
Banana - Green,Vegetables
Banana Leaf,Vegetables
Banana flower,Vegetables
Banana stem,Vegetables
Barley(Jau),Cereals
Barnyard Millet,Cereals
Basmati Rice,Cereals
Bay leaf(Tejpatta),Forest Products
Beans,Pulses
Beaten Rice,Cereals
Beetroot,Vegetables
Begonia,Flowers
Behada,Forest Products
Bejhar,Cereals
Bengal Gram Dal(Chana Dal),Pulses
Bengal Gram(Gram)(Whole),Pulses
Ber(Zizyphus/Borehannu),Fruits
Betal Leaves,Drug and Narcotics
Betelnuts,Spices
Betelvine,Drug and Narcotics
Bhindi(Ladies Finger),Vegetables
Bhringraj,Medicinal and Aromatic Plants
Bhui Amlaya,Forest Products
Bichchu Phal,Medicinal and Aromatic Plants
Big Gram,Pulses
Bilimbi,Fruits
Binoula,Vegetables
Bitter gourd,Vegetables
Black Currant,Fruits
Black Gram Dal(Urd Dal),Pulses
Black Gram(Urd Beans)(Whole),Pulses
Black pepper,Spices
Blueberry,Fruits
Borehannu,Fruits
Bottle gourd,Vegetables
Brahmi,Forest Products
Bran,Others
Bread Fruit,Fruits
Brinjal,Vegetables
Brocoli,Vegetables
Broken Rice,Cereals
Broomstick(Flower Broom),Forest Products
Browntop Millet,Cereals
Bull,"Live Stock,Poultry,Fisheries"
Bullar,Pulses
Bunch Beans,Others
Butter,Oils and Fats
Cabbage,Vegetables
Calendula,Flowers
Calf,"Live Stock,Poultry,Fisheries"
Camel Hair,Others
Cane,Forest Products
Capsicum,Vegetables
Cardamom,Spices
Carissa(Karvand),Fruits
Carnation,Flowers
Carrot,Vegetables
Cashew Kernnel,Others
Cashewnuts,Dry Fruits
Castor Oil,Oils and Fats
Castor Seed,Oil Seeds
Catechu(Black Cutch/ Khair/Katha),Forest Products
Cauliflower,Vegetables
Chakhao(Black Rice),Cereals
Chakotha,Fruits
Chandrashoor,Drug and Narcotics
Chapparad Avare,Vegetables
Chena,Medicinal and Aromatic Plants
Chennangi Dal,Pulses
Chennangi(Whole),Pulses
Cherry,Fruits
Chest Nut,Dry Fruits
Chhappan Kaddu,Vegetables
Chiaseeds,Medicinal and Aromatic Plants
Chicory(Chikori/Kasni),Beverages
Chikoos(Sapota),Fruits
Chili Red,Spices
Chilly Capsicum,Vegetables
Chironji,Forest Products
Chow Chow,Vegetables
Chrysanthemum,Flowers
Chrysanthemum(Loose),Flowers
Cinamon(Dalchini),Spices
Clarkia,Flowers
Cloves,Spices
Cluster beans,Vegetables
Coca,Spices
Cock,"Live Stock,Poultry,Fisheries"
Coco Broom,Others
Cocoa,Beverages
Coconut,Spices
Coconut Coir,Others
Coconut Oil,Oils and Fats
Coconut Seed,Oil Seeds
Coffee,Beverages
Colacasia,Vegetables
Coleus,Drug and Narcotics
Copra,Oil Seeds
Coriander(Leaves),Vegetables
Corriander seed,Spices
Cossandra,Flowers
Cotton,Fibre Crops
Cotton Seed,Oil Seeds
Cow,"Live Stock,Poultry,Fisheries"
Cowpea(Lobia/Karamani),Pulses
Cowpea(Veg),Vegetables
Crab,"Live Stock,Poultry,Fisheries"
Cucumbar(Kheera),Vegetables
Cummin Seed(Jeera),Spices
Curry Leaf,Vegetables
Custard Apple(Sharifa),Fruits
Daila(Chandni),Flowers
Dal Mix,Pulses
Dalda,Oils and Fats
Dates,Dry Fruits
Delha,Flowers
Dhaincha,Others
Dhaincha(Seed),Others
Double Beans,Vegetables
Dragon fruit,Fruits
Drumstick,Vegetables
Dry Chillies,Spices
Dry Fish,"Live Stock,Poultry,Fisheries"
Dry Fodder,Others
Dry Grapes,Dry Fruits
Duck,"Live Stock,Poultry,Fisheries"
Duster Beans,Vegetables
Egg,"Live Stock,Poultry,Fisheries"
Egypian Clover(Barseem),Others
Elephant Yam(Suran)/Amorphophallus,Vegetables
Engineered Wood/Processed Wood,Forest Products
Field Bean(Anumulu),Vegetables
Field Gram,Pulses
Field Pea,Vegetables
Fig (Dry),Dry Fruits
Fig(Anjura/Anjeer),Others
Firewood,Forest Products
Fish,"Live Stock,Poultry,Fisheries"
Flax seeds,Others
Flower Broom,Forest Products
Flowers-Others,Flowers
Foxtail Millet(Navane),Cereals
